,year,state_po,candidate,party,candidatevotes,totalvotes,votepercent,disbursements
2253,2006,UT,Orrin G. Hatch,republican,356238.0,571252.0,62.36091952413295,4706415
2254,2006,UT,Pete Ashdown,democrat,177459.0,571252.0,31.064924061535017,255729
2264,2006,VA,"James H. Jim Webb, Jr.",democrat,1175606.0,2370445.0,49.59431667893581,8561970
2265,2006,VA,George Allen,republican,1166277.0,2370445.0,49.20076188226261,16929574
2258,2006,VT,Rich Tarrant,republican,84924.0,262419.0,32.361985984246566,21675392
2260,2006,VT,Bernard Sanders,independent,171638.0,262419.0,65.40608721167294,6004222
2268,2006,WA,Mike McGavick,republican,832106.0,2083734.0,39.9334080069721,18357260
2270,2006,WA,Maria Cantwell,democrat,1184659.0,2083734.0,56.852698089103505,24037936
2276,2006,WI,Herb Kohl,democrat,1439214.0,2138297.0,67.30655283152902,21275591
2277,2006,WI,Robert Gerald Lorge,republican,630299.0,2138297.0,29.476681677054216,176987
2272,2006,WV,Robert C. Byrd,democrat,159154.0,206562.0,77.04902160126258,5531966
2273,2006,WV,John R. Raese,republican,47408.0,206562.0,22.950978398737426,8507967
2280,2006,WY,Dale Groutage,democrat,57671.0,196215.0,29.39173865402747,141164
2282,2006,WY,Craig Thomas,republican,135174.0,196215.0,68.89075758734042,1629704
2287,2008,AK,Ted Stevens,republican,147814.0,317723.0,46.522914614302394,5676409
2290,2008,AK,Mark Begich,democrat,151767.0,317723.0,47.767080129546805,4453292
2284,2008,AL,Vivian Davis Figures,democrat,752391.0,2060191.0,36.52044883217139,332007
2286,2008,AL,Jeff Sessions,republican,1305383.0,2060191.0,63.36223194839702,4021680
2293,2008,AR,Mark L. Pryor,democrat,804678.0,1011754.0,79.53296947677005,3799989
2294,2008,AR,Rebekah Kennedy,green,207076.0,1011754.0,20.467030523229955,13392
2297,2008,CO,Bob Schaffer,republican,990755.0,2331621.0,42.49211171112287,7266658
2300,2008,CO,Mark Udall,democrat,1230994.0,2331621.0,52.795630164593646,12987562
2302,2008,DE,Joseph R. Biden Jr.,democrat,257539.0,398134.0,64.68651258119125,8217880
2303,2008,DE,Christine O'Donnell,republican,140595.0,398134.0,35.31348741880874,115058
2305,2008,GA,Saxby Chambliss,republican,1228033.0,2137956.0,57.43958247971427,18048111
2310,2008,GA,Saxby Chambliss,republican,1867097.0,3752485.0,49.756281504123265,18048111
2306,2008,GA,Jim Martin,democrat,909923.0,2137956.0,42.56041752028573,7508505
2307,2008,GA,Jim Martin,democrat,1757393.0,3752485.0,46.83277881190731,7508505
2323,2008,IA,Tom Harkin,democrat,941665.0,1502918.0,62.655780288744964,7055014
2325,2008,IA,Christopher Reed,republican,560006.0,1502918.0,37.26124778597368,58793
2313,2008,ID,Jim Risch,republican,371744.0,644780.0,57.6543937467043,3573256
2314,2008,ID,Larry LaRocco,democrat,219903.0,644780.0,34.105121126585814,1421746
2315,2008,ID,Rex Rammell,independent,34510.0,644780.0,5.352213157976364,439397
2317,2008,IL,Steve Sauerberg,republican,1520621.0,5329884.0,28.530095589322396,17255664
2322,2008,IL,Richard J. Durbin,democrat,3615844.0,5329884.0,67.84095113514665,13112372
2327,2008,KS,Pat Roberts,republican,727121.0,1210690.0,60.05839645161024,6925381
2328,2008,KS,Jim Slattery,democrat,441399.0,1210690.0,36.45846583353294,1677905
2330,2008,KY,Mitch McConnell,republican,953816.0,1800821.0,52.96561957018493,23282998
2331,2008,KY,Bruce Lunsford,democrat,847005.0,1800821.0,47.03438042981507,21981521
2334,2008,LA,Mary L. Landrieu,democrat,988298.0,1896574.0,52.109646130338184,11425226
2335,2008,LA,John Kennedy,republican,867177.0,1896574.0,45.72334114039315,4984104
2341,2008,MA,John F. Kerry,democrat,1971974.0,3102995.0,63.55066637232738,26304596
2344,2008,MA,Jeffrey K. Beatty,republican,926044.0,3102995.0,29.84355437246918,2070528
2337,2008,ME,Susan M. Collins,republican,444300.0,724430.0,61.3309774581395,7996626
2339,2008,ME,Thomas H. Allen,democrat,279510.0,724430.0,38.58343801333462,6462451
2345,2008,MI,Jack Hoogendyk,republican,1641070.0,4848620.0,33.846125289257564,301993
2347,2008,MI,Carl Levin,democrat,3038386.0,4848620.0,62.664964464115556,7669160
2352,2008,MN,Norm Coleman,republican,1212317.0,2887646.0,41.98288155819654,21821755
2354,2008,MN,Dean Barkley,independence,437505.0,2887646.0,15.150922239083323,162387
2356,2008,MN,Al Franken,democrat,1212629.0,2887646.0,41.99368620668877,21066834
2359,2008,MS,Ronnie Musgrove,no party affiliation,560064.0,1243473.0,45.040302443237614,2684215
2360,2008,MS,Roger F. Wicker,republican,683409.0,1243473.0,54.959697556762386,6160116
2361,2008,MS,Thad Cochran,republican,766111.0,1247026.0,61.435046262066706,2832197
2362,2008,MS,Erik Fleming,democrat,480915.0,1247026.0,38.56495373793329,-1
2363,2008,MT,Bob Kelleher,republican,129369.0,477658.0,27.084022459584055,-1
2364,2008,MT,Max Baucus,democrat,348289.0,477658.0,72.91597754041594,9455359
2383,2008,NC,Kay Hagan,democrat,2249311.0,4271970.0,52.652780801363306,8953274
2385,2008,NC,Elizabeth Dole,republican,1887510.0,4271970.0,44.183596794921314,20205245
2367,2008,NE,Scott Kleeb,democrat,317456.0,792511.0,40.05698343619205,1910877
2368,2008,NE,Mike Johanns,republican,455854.0,792511.0,57.52021107593459,3781316
2369,2008,NH,John E. Sununu,republican,314403.0,694787.0,45.251710236374606,8868017
2370,2008,NH,Jeanne Shaheen,democrat,358438.0,694787.0,51.58962387033724,8336872
2374,2008,NJ,Frank R. Lautenberg,democrat,1951218.0,3482445.0,56.0301167714063,13147282
2378,2008,NJ,Dick Zimmer,republican,1461025.0,3482445.0,41.95400070927179,1498766
2380,2008,NM,Tom Udall,democrat,505128.0,823650.0,61.32799125842288,7841888
2381,2008,NM,Steve Pearce,republican,318522.0,823650.0,38.67200874157712,4626706
2386,2008,OK,James M. Inhofe,republican,763375.0,1346819.0,56.67985081885539,6428174
2388,2008,OK,Andrew Rice,democrat,527736.0,1346819.0,39.18388439723526,2868819
2389,2008,OR,Jeff Merkley,democrat,864392.0,1767504.0,48.9046700884411,6501315
2390,2008,OR,David Brownlow,constitution,92565.0,1767504.0,5.237046139640985,-1
2391,2008,OR,Gordon H. Smith,republican,805159.0,1767504.0,45.55344712091175,13941337
2393,2008,RI,Jack Reed,democrat,320644.0,438812.0,73.07092786888234,3175641
2395,2008,RI,Robert G. Tingle,republican,116174.0,438812.0,26.474663409387162,-1
2396,2008,SC,Bob Conley,democrat,790621.0,1871431.0,42.2468688399412,15202
2397,2008,SC,Lindsey Graham,republican,1076534.0,1871431.0,57.524642906951954,6765148
2399,2008,SD,Joel Dykstra,republican,142784.0,380673.0,37.50830765512658,905366
2400,2008,SD,Tim Johnson,democrat,237889.0,380673.0,62.491692344873414,5433369
2405,2008,TN,Lamar Alexander,republican,1579477.0,2424585.0,65.14422055733249,7831903
2406,2008,TN,Robert D. Tuke,democrat,767236.0,2424585.0,31.644013305369782,846386
2409,2008,TX,John Cornyn,republican,4337469.0,7912075.0,54.82087821462764,18994698
2411,2008,TX,"Richard J. \Rick\"" Noriega""",democrat,3389365.0,7912075.0,42.83787754792516,4157553
2414,2008,VA,"James S. \Jim\"" Gilmore III""",republican,1228830.0,3643294.0,33.728543455455416,2420635
2415,2008,VA,Mark R. Warner,democrat,2369327.0,3643294.0,65.03255021417431,12515479
2418,2008,WV,Jay Wolfe,republican,254629.0,702308.0,36.25603011784004,123720
2420,2008,WV,John D. Rockefeller IV,democrat,447560.0,702308.0,63.727025749386314,6977280
2422,2008,WY,Chris Rothfuss,democrat,60631.0,250007.0,24.25172095181335,27258
2423,2008,WY,John Barrasso,republican,183063.0,249619.0,73.33696553547607,1981441
2425,2008,WY,Michael B. Enzi,republican,189046.0,250007.0,75.61628274408316,2129834
2428,2008,WY,Nick Carter,democrat,66202.0,249619.0,26.5212183367452,273688
2438,2010,AK,Joe Miller,republican,90839.0,255503.0,35.55300720539485,1497872
2440,2010,AK,Scott T. McAdams,democrat,60045.0,255503.0,23.50070253578236,1268031
2429,2010,AL,William G. Barnes,democrat,515619.0,1485499.0,34.71015463490719,5871
2431,2010,AL,Richard C. Shelby,republican,968181.0,1485499.0,65.17547302286975,2647169
2451,2010,AR,John Boozman,republican,451618.0,779957.0,57.902935674658984,3666977
2455,2010,AR,Blanche L. Lincoln,democrat,288156.0,779957.0,36.9451136408802,12662526
2442,2010,AZ,John McCain,republican,1005615.0,1708484.0,58.86007712100319,22076918
2448,2010,AZ,Rodney Glassman,democrat,592011.0,1708484.0,34.65124636812519,1401586
2457,2010,CA,Barbara Boxer,democrat,5218441.0,10000160.0,52.183575062798994,8643395
2464,2010,CA,Carly Fiorina,republican,4217366.0,10000160.0,42.17298523223628,22635900
